rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,origin
61,62.31640970698564,92.7797833935018,2.297315518504872,61.33571038015759,63.29710903381369,10579,Putnam Valley,Putnam County,NY,636616.0,0.06508036269006326,-0.15470942366369833,-0.07627641653195028,,-0.3200352046755548,0.0062605192166090284,-0.0336552378312458,-0.017178736504152872,2026-07-31
62,62.179319678654004,92.65944645006017,2.297315518504872,66.1117436792533,58.24689567805471,08050,Manahawkin,Ocean County,NJ,605126.0,0.11658334220362612,-0.205438704730998,-0.15249036176574826,0.05155946924390858,-0.2349750199825842,-0.09297750783248698,0.10380712159647487,0.0329078698962955,2026-07-31
63,62.15269187578551,92.53910950661853,2.297315518504872,56.96748692468838,67.33789682688264,11414,New York,Queens County,NY,636271.0,-0.13493218535124782,-0.15525199400861034,-0.14107028070257144,,0.011591280748176613,-0.17648823460237695,-0.0005211001382185998,0.03447136172754055,2026-07-31
64,62.10349671131817,92.4187725631769,2.297315518504872,63.586382276461826,60.62061114617451,18435,Lackawaxen,Pike County,PA,354631.0,0.01716451563965507,-0.739799254077834,0.0674508282326105,,-0.6253312648669624,-0.009681690707930568,-0.4211048185405364,0.1967629564719185,2026-07-31
65,61.978921177970484,92.29843561973526,2.297315518504872,65.95503542619177,58.0028069297492,07821,Byram Township,Sussex County,NJ,535173.0,0.07017174268538931,-0.32828657399179306,0.06253563729440792,,-0.5618703653513137,0.0011998320707673482,0.030775622647562173,-0.02768362060766423,2026-07-31
66,61.96978195428705,92.17809867629362,2.297315518504872,62.550490487075194,61.38907342149891,11784,Selden,Suffolk County,NY,608331.0,0.09047642861355279,-0.2001577318967822,-0.08201453220801369,,-0.126833563971114,-0.1985838069012743,-0.11639049988823658,0.04219070429342002,2026-07-31
67,61.925760398496635,92.05776173285199,2.297315518504872,54.13095745459857,69.7205633423947,08759,Toms River,Ocean County,NJ,276757.0,-0.04298651431174036,-0.9877359347189643,-0.5506864611601792,0.11316782459753656,-0.2211400204169245,-0.2608519769722425,0.037098412927834445,-0.025496438566294535,2026-07-31
68,61.87586281874931,91.93742478941034,2.297315518504872,64.66834035199854,59.08338528550009,11933,Calverton,Suffolk County,NY,654959.0,0.06028027691534668,-0.12630387564622936,-0.13813101128059735,,0.2882562263101007,-0.19863112205726507,-0.2690867668455663,-0.14777786022996303,2026-07-31
69,61.85579238665102,91.81708784596871,2.297315518504872,62.93179911178566,60.779785661516385,07080,South Plainfield,Middlesex County,NJ,598708.0,0.024295316864329314,-0.21610287896709934,-0.024957290962053236,0.05364800312793412,-0.3639561460475502,-0.05260439191147759,0.01722493060042396,0.004243796332698488,2026-07-31
70,61.723231020491504,91.69675090252709,2.297315518504872,67.31398589410394,56.13247614687907,08804,Bloomsbury,Hunterdon County,NJ,506771.0,0.011114346243090628,-0.38281737769649027,0.011632554182307686,,-0.33749666456348426,-0.11318542835583872,-0.18617571019511558,0.22456131590761547,2026-07-31
71,61.65410917372506,91.57641395908543,2.297315518504872,59.32656895644913,63.98164939100099,18464,Tafton,Pike County,PA,359747.0,-0.002596869559416598,-0.7254750918930561,0.10694684817064903,,-0.35161459675361084,-0.2666117467877862,-0.034388707785728556,0.1570335764313005,2026-07-31
72,61.64841512152134,91.4560770156438,2.297315518504872,62.39129616930727,60.9055340737354,07718,Belford,Monmouth County,NJ,644357.0,0.101384000369546,-0.14262262354425914,-0.2163210667526556,,-0.3006083244098765,-0.03789661212017392,-0.18758249109605885,-0.0005819877735457474,2026-07-31
73,61.17881911183104,91.33574007220217,2.297315518504872,59.695683252530294,62.661954971131784,11726,Copiague,Suffolk County,NY,591240.0,-0.07199755354421064,-0.22865412699358778,-0.16512411782503555,,-0.36274233893249996,-0.22810834668330404,0.30553805793235966,-0.036642328342194566,2026-07-31
74,61.061995099510995,91.21540312876053,2.297315518504872,63.03294565046522,59.09104454855677,07442,Pompton Lakes,Passaic County,NJ,566244.0,0.07509132460045045,-0.27185191778475115,-0.20177406590076785,,-0.37453122308966624,-0.05247664607271679,-0.0358535129402231,0.013944008160353058,2026-07-31
75,61.02864786516494,91.0950661853189,2.297315518504872,62.735328606824126,59.32196712350576,11741,Holbrook,Suffolk County,NY,678810.0,0.0384369885532351,-0.09053531983605367,-0.03381905613633407,0.05030025092966445,-0.3414916507205892,-0.14375160700660444,0.0661441836108363,-0.05584748631972376,2026-07-31
76,60.867453800082174,90.97472924187726,2.297315518504872,57.11580855986348,64.61909904030087,08757,Toms River,Ocean County,NJ,347292.0,0.039515793560373075,-0.7607099566125513,-0.32942347599183996,0.09862974846829717,-0.10538103297512014,-0.3028314638708537,0.003776945194976733,-0.00015469334523361689,2026-07-31
77,60.81233060058707,90.85439229843561,2.297315518504872,62.58674408167777,59.03791711949636,11742,Holtsville,Suffolk County,NY,660320.0,0.050442676462444075,-0.11815128773097427,-0.018811849732538022,,-0.22650332153574415,-0.1296232175987616,-0.07492937710999925,0.0031640551955603308,2026-07-31
78,60.76683869585447,90.73405535499398,2.297315518504872,66.92077574156444,54.612901650144494,08823,Franklin Park,Somerset County,NJ,430122.0,0.11842342135874376,-0.5468072073097421,-0.5085818959971338,,-0.575660347239759,0.10009682033396095,-0.1248707764691499,-0.1852582010933223,2026-07-31
79,60.7193339418549,90.61371841155234,2.297315518504872,53.24119237933258,68.19747550437721,11435,New York,Queens County,NY,589719.0,-0.27583660897040263,-0.23122970135972665,-0.10881840392153741,0.04767673977917658,0.11163211461486067,-0.15604695221989096,-0.044519513043008274,0.04596796631766002,2026-07-31
80,60.64973859147884,90.49338146811071,2.297315518504872,61.34845948663027,59.951017696327405,07035,Lincoln Park,Morris County,NJ,549063.0,0.051506003401203065,-0.30266217531299233,-0.27291496091401335,,-0.3954902979501391,-0.04084566019694297,-0.0034554979676126862,0.0032231158360896267,2026-07-31
81,60.55256860504426,90.37304452466908,2.297315518504872,69.06232459041773,52.042812619670784,11949,Manorville,Suffolk County,NY,726825.0,0.12970891552356037,-0.02218990307133417,0.09135607248016697,0.0371973788892558,-0.2344280755588024,-0.1436050268499599,0.1327140031389895,-0.016551374581417824,2026-07-31
82,60.47090153789199,90.25270758122743,2.297315518504872,60.057940577452925,60.88386249833106,11720,Centereach,Suffolk County,NY,666661.0,0.07974770109854426,-0.10859469825710732,-0.04098017762472317,0.0748706494753554,-0.2918567711496085,-0.12389132737321779,-0.023048342023281876,-0.024643868928229742,2026-07-31
83,60.42472946752237,90.1323706377858,2.297315518504872,60.721193832085596,60.12826510295915,10541,Mahopac,Putnam County,NY,639735.0,0.04432786496396482,-0.14982199711614363,-0.070648803368897,,-0.36027986705865733,-0.03179495065305632,0.026018857001501416,-0.030649204146200495,2026-07-31
84,60.323217049354014,90.01203369434417,2.297315518504872,60.75445706307929,59.89197703562874,07008,Carteret,Middlesex County,NJ,567756.0,0.07949200865508779,-0.26918388551978367,-0.049264690406294775,0.05192728555065725,-0.12285447102248104,-0.19001474650085354,0.048539632671319666,0.00953217565168378,2026-07-31
85,60.30570350024226,89.89169675090253,2.297315518504872,60.89815066198378,59.71325633850074,07849,Lake Hopatcong,Morris County,NJ,537592.0,0.021169163947462627,-0.32377623642120135,0.05238743590741812,,-0.36723707722247245,-0.010805084059703762,-0.0912158057344925,-0.12241147157474659,2026-07-31
86,60.15802353233761,89.7713598074609,2.297315518504872,60.45124926207941,59.8647978025958,10993,West Haverstraw,Rockland County,NY,446796.0,0.07914687003482293,-0.508773296620868,-0.38222869896626044,,0.019969281799208316,-0.25396657163886177,0.10306455812383142,-0.008579063845919513,2026-07-31
87,60.122549193416646,89.65102286401925,2.297315518504872,63.429292658279856,56.815805728553435,08863,Fords,Middlesex County,NJ,540869.0,0.12412561784272605,-0.31769828592816296,-0.07555685505520238,,-0.34883261825148115,-0.07084327062051243,0.007360924154941273,0.021870002612930414,2026-07-31
88,60.00843918861469,89.53068592057761,2.297315518504872,54.839079580288775,65.1777987969406,10471,New York,Bronx County,NY,437902.0,-0.25629947479862525,-0.5288819084675573,-0.3211377562769826,0.07919244409040602,-0.44280053452755586,0.08731451197982287,-0.08151860843371495,-0.023705741966187424,2026-07-31
89,59.784945169560615,89.41034897713598,0.9034260975988362,58.26158234502709,61.30830799409415,10523,Elmsford,Westchester County,NY,717407.0,-0.002732013796781979,-0.035233150635637145,-0.15502545896393372,,-0.08836590312493553,0.00981871934143308,-0.07009366958470942,0.08806990615085679,2026-07-31
90,59.72404582812517,89.29001203369434,0.9034260975988362,60.13225096286096,59.31584069338939,11776,Port Jefferson Station,Suffolk County,NY,640413.0,0.082936727031559,-0.1487629613547874,-0.05622399468425776,0.058451122830914005,-0.21976147557143588,-0.13682599462668493,-0.061872174130868984,0.018280800188140753,2026-07-31
91,59.663293443278434,89.16967509025271,0.9034260975988362,65.50950920909834,53.81707767745853,08809,Clinton,Hunterdon County,NJ,528884.0,0.029941316341345475,-0.3401063602225971,-0.13041374691881558,,-0.4959533972799097,0.04587938378429002,0.013521515941322448,0.019239859668491108,2026-07-31
92,59.655171653246896,89.04933814681108,0.9034260975988362,59.484716724412735,59.82562658208106,11953,Middle Island,Suffolk County,NY,511202.0,0.11793334176587181,-0.3741117132359957,-0.17540120351853083,0.06718285819998115,-0.10959462963731359,-0.16331507614764584,-0.21830872007490676,-0.033511373708348294,2026-07-31
93,59.65345499445036,88.92900120336944,0.9034260975988362,65.99127416230391,53.31563582659681,07822,Augusta,Sussex County,NJ,557476.0,-0.0037050902105391914,-0.28745691730317446,0.23080742703205992,,-0.3071678117740657,-0.15793272522129326,0.18399462924557675,0.13681491499661763,2026-07-31
94,59.530008945286056,88.8086642599278,0.9034260975988362,63.5808193131029,55.479198577469205,08825,Frenchtown,Hunterdon County,NJ,585500.0,-0.02054621124576847,-0.23840931009404187,-0.15171589318411627,,-0.13990711442471704,-0.009254283843007971,-0.29231124220197024,0.10501731333948365,2026-07-31
