model,spearman_national,spearman_nyc,spearman_nyc_within_county,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_nyc_only,-0.2837845522612035,-0.4418236512275607,-0.3296493689665501,-0.0625636506233727,-0.1983529575216018,17547,824,5,2016,157650
momentum_1y,0.312523478443532,0.2054783456643175,0.4020520083968838,0.0912119556815551,0.074004197884782,17547,824,5,2016,157650
momentum_5y,0.0865662515262526,-0.3576438713185489,-0.285683787577783,0.0152895366829946,-0.1716374542625537,17547,824,5,2016,157650
catch_up_price,0.6254468682756229,0.7413084972100649,0.7609766000421241,0.1833085992342425,0.3248588372646701,17547,824,5,2016,157650
catch_up_neighbors,0.4688769170185918,0.4344289930737488,0.5256372657640617,0.1387036475822594,0.1808631849281715,17547,824,5,2016,157650
beta_x_metro_trend,0.1737715057773123,0.2940251725130686,0.3990787906504839,0.0572490528787561,0.1048351805071218,17547,824,5,2016,157650
gbm_national,-0.2991186131656279,-0.344302191144383,-0.2781145912120878,-0.0905616429195942,-0.1729238996010856,17755,825,5,2017,173834
gbm_recency,-0.3424769967544367,-0.4524600527003029,-0.3312919857903126,-0.1029548106151721,-0.2154510600399529,17755,825,5,2017,173834
ridge_national,-0.0977174865523108,0.1447304612451889,-0.261465290733492,-0.0224780369107992,0.0956892037440839,17755,825,5,2017,173834
gbm_county_target,-0.2628277915485043,-0.1750548694353203,-0.3922840946223669,-0.0793321701013355,-0.0516395828823017,17755,825,5,2017,173834
gbm_nyc_only,-0.25287657466348,-0.5344520001966111,-0.2833034234796163,-0.0613319797411357,-0.2525404400254842,17755,825,5,2017,173834
momentum_1y,0.240241459272146,0.1102470564389426,0.3258617495200853,0.0672845784980793,0.0336661078640448,17755,825,5,2017,173834
momentum_5y,0.1286721545971282,-0.2962371445038014,-0.0073004263128341,0.0311671874154302,-0.1782955369783499,17755,825,5,2017,173834
catch_up_price,0.5074997007146154,0.6889629837005187,0.6418107639046383,0.1446198528810876,0.3107158279786094,17755,825,5,2017,173834
catch_up_neighbors,0.3628228395343964,0.3273763243209621,0.4141661191230402,0.1026359239563493,0.141403177062088,17755,825,5,2017,173834
beta_x_metro_trend,0.1525720857394029,0.2482092784519976,0.4387109652371425,0.0442383778976061,0.10236947690165,17755,825,5,2017,173834
gbm_national,0.2445024868799878,0.1111184620105981,0.383260880572229,0.0506434199152738,-0.0107944399838008,17963,826,5,2018,190360
gbm_recency,0.2726037009390175,0.0996151300178517,0.4232255850909378,0.0576850205916171,-0.0332652789468729,17963,826,5,2018,190360
ridge_national,0.3098766265922083,0.352839019648603,0.5267464025767417,0.0711044811144834,0.1637670914890268,17963,826,5,2018,190360
gbm_county_target,0.2207006978658877,0.2327975936509947,0.4498620661259628,0.0557987605540862,0.0976515631690398,17963,826,5,2018,190360
gbm_nyc_only,-0.0671816894809076,-0.4719796777321422,0.1743253748399467,-0.025483871918663,-0.2996769013339536,17963,826,5,2018,190360
momentum_1y,0.2218646351813375,0.1276933893817224,0.4299325591009462,0.0539699010235364,0.0550365455042422,17963,826,5,2018,190360
