horizon,model,spearman_national_mean,spearman_nyc_mean,q5_q1_spread_national_mean,q5_q1_spread_nyc_mean,spearman_national_min,spearman_nyc_min,q5_q1_spread_national_min,q5_q1_spread_nyc_min,n_folds,best_baseline,share_folds_gbm_beats_best_baseline
5,catch_up_neighbors,0.28322593466721496,0.19925144188031438,0.08055746904948717,0.08359093769627629,-0.0766476308085452,-0.1144063114223962,-0.0244168041025162,-0.0349323003964044,12,,
5,catch_up_price,0.3446930374927677,0.29252109696401357,0.09957094304234936,0.14067341668950217,-0.0677081190520938,-0.4528523932100954,-0.0187111472237617,-0.2051169800896522,12,,
5,gbm_national,-0.08165707804286747,-0.11626811238490026,-0.02805529279441386,-0.04015064911421313,-0.3881246430419781,-0.4027522496967695,-0.1162606433616414,-0.1975295397221233,12,catch_up_price,0.16666666666666666
5,gbm_nyc_only,-0.049734379124105416,-0.049455443000938105,-0.007205909867404141,-0.03707615793284411,-0.2995976688320924,-0.5485491602358479,-0.0692722181577172,-0.2377506672373008,12,,
5,gbm_recency,-0.07558033329324153,-0.1005514739820539,-0.02751793790678965,-0.03524719634404314,-0.3734299787611396,-0.3626236864033699,-0.1090042113374911,-0.1787937150582911,12,,
5,momentum_1y,0.1517099370266283,0.23489862963559152,0.04322203940009567,0.10572353168621192,-0.0456311309675013,-0.0673118201028579,-0.0185687243597821,-0.0442587240788969,12,,
5,momentum_5y,-0.04076447149308917,-0.011870876476988692,-0.019728672415154393,-0.008862898221948419,-0.3161420776571589,-0.3576438713185489,-0.1061087148696581,-0.1782955369783499,12,,
5,ridge_national,0.013456814899083472,-0.10174285831934071,0.0031865902393040835,-0.03467480835511535,-0.2556887703051198,-0.5367212094661666,-0.0675144287029262,-0.230346440413537,12,,
10,catch_up_neighbors,0.4443480675309073,0.37398641673719896,0.1817193099637484,0.20238804852348308,0.3228926301976405,0.2912840160463074,0.1174545462965036,0.1647430620324687,7,,
10,catch_up_price,0.5480975238066046,0.5382435116558135,0.22511188431467194,0.3069272091660103,0.4516093978623829,0.144439639542606,0.1680473214882152,0.0691932983688062,7,,
10,gbm_national,-0.3079416205879656,-0.26460154943229036,-0.13446161730300396,-0.17784350695706283,-0.4055995929315751,-0.4353884606575959,-0.1749733074511622,-0.3106815458008549,7,catch_up_price,0.0
10,gbm_nyc_only,-0.022068610761798616,-0.08386828483222834,-0.0036845393558754547,-0.10050492901942014,-0.2140273473384363,-0.4388590168575776,-0.0790317893293636,-0.3579735030461402,7,,
10,gbm_recency,-0.30688305925737486,-0.26663657638208277,-0.13416317903525568,-0.17762970697104494,-0.4037446097185221,-0.4380251094910556,-0.1753129482429699,-0.308999456813923,7,,
10,momentum_1y,-0.005014193239313188,-0.19355888006168515,-0.012102717641275044,-0.1386052072299577,-0.2414385872841528,-0.3213457199796923,-0.1219181285347668,-0.2167863752414308,7,,
10,momentum_5y,-0.26654461898908777,-0.3670796257128089,-0.130820768583455,-0.22986196717276391,-0.4499602287782063,-0.5951130858477895,-0.2198962704974225,-0.4113908174919596,7,,
10,ridge_national,-0.43086760431436566,-0.3777102300704372,-0.16645016143062671,-0.18049307381301233,-0.5289288414855402,-0.5679810331688495,-0.2054806468246242,-0.3163954298495413,7,,
