rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
173,58.143629876250316,79.30204572803851,0.8317172812764895,55.83982522401656,60.44743452848408,08050,Manahawkin,Ocean County,NJ,605126.0,0.11658334220362612,-0.205438704730998,-0.15249036176574826,0.05155946924390858,-0.2349750199825842,-0.09297750783248698,0.10380712159647487,0.0329078698962955,2.7,2026-07-31
174,58.11536999537836,79.18170878459688,0.8317172812764895,60.85094932711135,55.37979066364536,07043,Montclair,Essex County,NJ,1427857.0,0.18301672882764955,0.6530534788264468,0.6654603966904808,,-0.14715457461337889,0.34779914597335815,-0.03631022832431441,0.03977011716541794,3.1,2026-07-31
175,58.10833383610782,79.06137184115524,0.8317172812764895,55.24607043969729,60.970597232518344,07416,Franklin,Sussex County,NJ,380608.0,0.03983586709002687,-0.6691050167264425,-0.22063029881632445,,-0.4909620671626709,-0.2787154716548418,0.08886749048441267,0.02026522916842248,2.1,2026-07-31
176,58.09581694830471,78.9410348977136,0.8317172812764895,56.348845986864504,59.842787909744914,10607,White Plains,Westchester County,NY,852476.0,0.057917589097242234,0.13726867611112326,-0.0463092152362794,,-0.2690212984782143,0.011769546863467761,-0.018130807828324436,-0.0947564003976848,3.0,2026-07-31
177,58.060073036389724,78.82069795427196,0.8317172812764895,53.56387744419532,62.556268628584135,11730,East Islip,Suffolk County,NY,736563.0,-0.0005384632143773105,-0.008881371028765628,0.02704659147216404,,-0.2688447214737437,-0.061034359160494156,-0.06073471811586906,0.03511187638352302,3.1,2026-07-31
178,58.05861210537425,78.70036101083032,0.8317172812764895,62.852777416477615,53.26444679427088,10528,Harrison,Westchester County,NY,1496329.0,0.12346164887557123,0.6998936893876824,0.1978259783787042,0.036615394072284604,0.38150029463732227,0.11372536279166845,0.08607098109014011,0.050632183777853876,3.3,2026-07-31
179,58.00813841237107,78.58002406738869,0.8317172812764895,56.402818638913246,59.6134581858289,07016,Cranford,Union County,NJ,786111.0,-0.00020276722544351755,0.056221940885816224,0.1064222880426069,0.04453508372896954,-0.2721976986600627,0.1712063760697068,-0.04735812383927751,0.01500561975720087,2.6,2026-07-31
180,58.00376710654473,78.45968712394705,0.8317172812764895,54.621825920036,61.385708293053455,11778,Rocky Point,Suffolk County,NY,558708.0,0.03664757458763504,-0.28524851073766655,-0.15539146908235857,,-0.4030395656029804,-0.12281977434957342,0.025039383666822346,0.008469765751176347,2.5,2026-07-31
181,57.96268754447445,78.33935018050542,0.8317172812764895,58.984117986269936,56.94125710267897,11570,Rockville Centre,Nassau County,NY,987962.0,-0.0008458946805159628,0.2847679269521137,0.27906159595965363,0.042086643760052625,-0.05125869196820898,0.130000589798131,0.06300922326142455,0.005767084219052074,1.9,2026-07-31
182,57.943296910111954,78.21901323706378,0.8317172812764895,66.23823121220262,49.64836260802128,08738,Mantoloking,Ocean County,NJ,2232332.0,0.17339811085507897,1.0999260189709403,0.9096316875121762,,0.2997179655311146,0.21649899887819535,0.6906840329106121,-0.09182832999297803,2.9,2026-07-31
183,57.8929551256344,78.09867629362213,0.8317172812764895,60.04606676528864,55.73984348598017,07023,Fanwood,Union County,NJ,818392.0,0.07139278077915137,0.09646545563642661,0.007829211534172487,,-0.457986385969549,0.23951597866132746,0.047952316960245156,0.09177643887401414,2.6,2026-07-31
184,57.85163616202872,77.9783393501805,0.8317172812764895,63.658572480107075,52.04469984395036,07624,Closter,Bergen County,NJ,1225881.0,0.12152645130456677,0.5005388356147034,0.11138994623947518,,-0.027693751636932662,0.17221897019711507,0.07411406150144728,-0.045777256232853517,3.2,2026-07-31
185,57.831933856212686,77.85800240673886,0.8317172812764895,65.58455756042342,50.07931015200195,07078,Short Hills,Essex County,NJ,2412277.0,0.1623208143260463,1.1774502539571028,0.9902153582726836,0.03579467115202094,0.3772422005172771,0.43664187642548813,-0.23118621328872813,0.04337856753828566,2.6,2026-07-31
186,57.798456180266896,77.73766546329723,0.8317172812764895,54.19127224147028,61.40564011906352,11742,Holtsville,Suffolk County,NY,660320.0,0.050442676462444075,-0.11815128773097427,-0.018811849732538022,,-0.22650332153574415,-0.1296232175987616,-0.07492937710999925,0.0031640551955603308,2.6,2026-07-31
187,57.7970691991256,77.6173285198556,0.8317172812764895,58.2226513324345,57.37148706581671,11787,Smithtown,Suffolk County,NY,826083.0,0.06202339209938082,0.1058193491753947,0.11570333198410587,,-0.13647446106837013,0.0383620416387922,-0.12161702268142172,-0.06636183453163165,2.5,2026-07-31
188,57.79689391790361,77.49699157641395,0.8317172812764895,63.705338509357226,51.888449326449994,11965,Shelter Island,Suffolk County,NY,2079927.0,0.13842349753800712,1.0292118305956937,0.1360232476407095,,,0.3469435518068825,,-0.21456053509886058,2.9,2026-07-31
189,57.78475910201232,77.37665463297232,0.8317172812764895,56.446662181917716,59.12285602210693,11731,East Northport,Suffolk County,NY,779556.0,0.10417616988634074,0.04784881179697642,-0.06031660645406767,0.036174420414238864,-0.31311822863491234,0.040991622670557226,0.0584008740681945,-0.0033598201797510746,2.5,2026-07-31
190,57.75893808975975,77.25631768953069,0.8317172812764895,56.55339125076265,58.96448492875685,10466,New York,Bronx County,NY,679970.0,-0.05176122117751944,-0.08882762225278462,0.1271995305115965,0.056785844686397156,0.44324430744708176,-0.22698621128027785,-0.10919729821051227,-0.0010159462745240183,2.6,2026-07-31
191,57.738018114628446,77.13598074608905,0.8317172812764895,60.394063560079225,55.081972669177674,11777,Port Jefferson,Suffolk County,NY,800022.0,-0.011371997265607087,0.07376264768242535,0.13662664518045986,0.0516207669776622,-0.21897679413158966,0.18924873766045547,0.03627924321276055,0.07196817995615871,2.5,2026-07-31
192,57.72346149482349,77.01564380264742,0.8317172812764895,63.50919158341096,51.93773140623602,07650,Palisades Park,Bergen County,NJ,1012589.0,0.09332975722667172,0.30938925950589535,0.4250820248925624,0.03170119289188524,0.4794781613149073,0.019047601781496115,0.09687757800852026,-0.05276216431703036,2.5,2026-07-31
193,57.715908764032974,76.89530685920577,0.8317172812764895,49.07804109465848,66.35377643340748,10931,Hillburn,Rockland County,NY,517857.0,0.011952727491559761,-0.361176101766862,-0.583973866759365,,-0.06314779436486373,-0.23438187876477923,-0.05422183993618823,0.17113145567340854,2.3,2026-07-31
194,57.680331032422615,76.77496991576413,0.8317172812764895,59.91174819598909,55.44891386885613,07432,Midland Park,Bergen County,NJ,765589.0,0.041117403366581234,0.02976963450346659,-0.28336747080156677,,-0.23832386982103704,0.0845960604517576,-0.03896433767065233,0.05010128559293596,2.6,2026-07-31
195,57.64686778044525,76.6546329723225,0.8317172812764895,57.66691353106529,57.626822029825206,08887,Branchburg Township,Hunterdon County,NJ,350495.0,0.25516850915594735,-0.7515296752666671,-0.7238987710558202,,-0.7246710817831457,-0.0922490142439591,-0.11856666888855116,0.0666609331602122,2.3,2026-07-31
196,57.620544152498674,76.53429602888086,0.8317172812764895,59.89989467440427,55.341193630593075,07645,Montvale,Bergen County,NJ,947320.0,0.03948432619337652,0.24276092006124728,0.0007570539784023111,,-0.21927586100358742,0.05931264874199904,-0.0363367845322049,0.06220981880021119,2.6,2026-07-31
197,57.583189263180444,76.41395908543923,0.8317172812764895,58.817892357268065,56.348486169092816,07042,Montclair,Essex County,NJ,961161.0,0.022407990313370624,0.257265348174359,0.1890167343096376,0.03685691700750333,0.16758253394418499,0.1973247177162557,-0.10891192311928499,0.03360008375290162,3.1,2026-07-31
198,57.57352313680349,76.2936221419976,0.8317172812764895,55.77448437004613,59.372561903560836,08801,Annandale,Hunterdon County,NJ,632361.0,0.0044863892792438576,-0.16141546484912794,-0.013062514035047101,,-0.44971998476289987,0.1598459559955937,-0.0668350139225673,0.01651058212655014,2.5,2026-07-31
199,57.53596155557619,76.17328519855594,0.8317172812764895,58.898710731130066,56.17321238002233,07730,Hazlet Township,Monmouth County,NJ,635307.0,0.07002902704499761,-0.15676722596076687,0.0030027154196030637,0.05661196497717688,-0.26652444961751454,-0.1745045828613005,-0.02366344948184107,0.10327828218020789,2.7,2026-07-31
200,57.4589301421785,76.05294825511432,0.8317172812764895,56.19879957522909,58.719060709127916,10598,Yorktown Heights,Westchester County,NY,742477.0,0.03502499940493778,-0.0008839912384992488,-0.07610183482519517,,-0.4362253870003745,0.08420888366680901,0.06913300930356314,-0.06904350058731064,2.8,2026-07-31
201,57.43516542728865,75.93261131167269,0.8317172812764895,62.87419749932602,51.99613335525128,07750,Monmouth Beach,Monmouth County,NJ,1164499.0,0.1122966622503764,0.4491699608666231,0.12426154974177983,0.03303996216018657,0.15853898261802857,0.18485073289163367,-0.13128391475558487,-0.061837616309296364,2.6,2026-07-31
202,57.434121035598764,75.81227436823104,0.8317172812764895,59.54983589387041,55.31840617732713,08535,Millstone Township,Monmouth County,NJ,966233.0,0.07857218778986699,0.2625286489057448,0.3542670087505062,,-0.36204501189655613,0.007102576577167341,-0.0639374890170874,-0.07181233493715729,2.6,2026-07-31
203,57.42978903048473,75.69193742478942,0.8317172812764895,57.750299239895554,57.10927882107389,07006,West Caldwell,Essex County,NJ,861915.0,0.04305237299587575,0.14828041586749663,-0.0467040882268126,0.03889594866693971,-0.13509335521504195,0.16175611159332226,-0.07796846367277865,0.0049722043138092226,2.7,2026-07-31
204,57.42785780833219,75.57160048134777,0.8317172812764895,54.24012421416381,60.61559140250058,07836,Flanders,Morris County,NJ,675015.0,0.01667366380491267,-0.09614058694091732,0.14558496661477704,0.03770481493448465,-0.39820487642993574,0.028736857023182294,-0.01427668701984608,-0.06966277558997698,2.4,2026-07-31
205,57.42235912202663,75.45126353790613,0.8317172812764895,61.92850961200733,52.91620863204592,07028,Glen Ridge,Essex County,NJ,1194061.0,0.05727015829946894,0.47423923606750584,0.6088442310237525,,-0.3153527075997744,0.3227483835679541,-0.011756030063908796,-0.004687391706233959,3.1,2026-07-31
206,57.38201546112709,75.3309265944645,0.8317172812764895,58.07370404636805,56.69032687588613,07716,Atlantic Highlands,Monmouth County,NJ,853221.0,0.08337714076533445,0.1381419798127972,-0.0710507490149439,0.04013029984055821,0.018437427091552605,-0.017820755905127272,0.08557649003397039,0.03647130951170778,3.2,2026-07-31
207,57.34070825244845,75.21058965102286,0.8317172812764895,50.10587941187746,64.57553709301945,11575,Roosevelt,Nassau County,NY,659034.0,0.0707039395524344,-0.12010106197169002,-0.2261293266129787,,-0.23628416385782924,-0.19892239511169602,0.10005343532625588,-0.06862905921819058,2.6,2026-07-31
208,57.323217514921815,75.09025270758123,0.8317172812764895,55.55988585801428,59.08654917182935,11418,New York,Queens County,NY,761379.0,-0.10601536188831914,0.024255699183424184,0.22755826544731228,0.04452444658210027,0.24397106042281957,-0.1619288627541548,0.03740887822656802,-0.011296649241511594,1.8,2026-07-31
209,57.3231257042107,74.9699157641396,0.8317172812764895,53.01526562783392,61.63098578058749,11766,Mount Sinai,Suffolk County,NY,774401.0,0.04913033313204487,0.04121394152153002,0.18833140130531412,,-0.2695018848076629,0.0127440842151888,-0.08993851996881297,-0.06229242518737595,2.4,2026-07-31
210,57.30276756781127,74.84957882069796,0.8317172812764895,57.369012683534315,57.236522452088224,07981,Whippany,Morris County,NJ,764723.0,0.00976836243608084,0.028636914268235003,-0.07424194575867205,,-0.2600279275369879,0.06329138927133415,0.00047792083928932527,0.009403551854676714,2.2,2026-07-31
211,57.25058441888634,74.72924187725631,0.8317172812764895,60.2797159080589,54.221452929713784,08828,Helmetta,Middlesex County,NJ,434055.0,0.03203917031651607,-0.5377060122962245,-0.33585540959943216,,-0.4110840319545137,-0.08563385829861747,-0.16975279168701896,0.07049113034946623,1.7,2026-07-31
212,57.20336113555415,74.60890493381469,0.8317172812764895,58.5006238653333,55.90609840577498,11579,Sea Cliff,Nassau County,NY,1144940.0,0.07263681767364219,0.43223107539268923,-0.2524365760510978,,-0.11225458080874806,0.12241409872314024,0.13591831855100267,-0.09709979426800137,2.7,2026-07-31
213,57.19944752242424,74.48856799037304,0.8317172812764895,62.01780081990177,52.3810942249467,10804,New Rochelle,Westchester County,NY,1277528.0,0.15286591337964275,0.5418062891621975,0.2954832360876569,,-0.2584017642776282,0.36187127641202643,0.08409855699031077,-0.009970430848546832,3.5,2026-07-31
214,57.1940198582122,74.36823104693141,0.8317172812764895,51.42636332658069,62.9616763898437,07740,Long Branch,Monmouth County,NJ,835841.0,0.09193780316096536,0.117561856636895,-0.4033897662174244,0.039376826439545605,0.45841840812201684,-0.12979057823829643,0.05283826850939022,0.0023194369469321935,2.8,2026-07-31
215,57.123745083366146,74.24789410348977,0.8317172812764895,54.53174968985138,59.71574047688092,11789,Sound Beach,Suffolk County,NY,535124.0,0.025339227510436407,-0.3283776636456146,-0.1810338632768964,,-0.4863405559397702,-0.027886244693685003,0.02255105611987851,-0.02713152633770806,2.5,2026-07-31
216,57.07006404769457,74.12755716004813,0.8317172812764895,57.611058477100244,56.529069618288894,11746,South Huntington,Suffolk County,NY,798482.0,0.07764828179127684,0.07183616021479189,-0.107097456729079,0.04992807536751549,-0.31035843270504526,-0.009530632113314452,0.1138590821585801,-0.05935582733595064,2.4,2026-07-31
217,57.02444335325504,74.0072202166065,0.8317172812764895,59.31453196743141,54.73435473907866,07830,Califon,Hunterdon County,NJ,783340.0,0.02799444704077772,0.05269018018595517,0.1554829154012598,,-0.4237319726251638,0.1731298176483208,0.06585840505488427,0.09673505088412009,2.6,2026-07-31
218,57.01658993443846,73.88688327316486,0.8317172812764895,52.906849559933335,61.12633030894358,07921,Bedminster,Somerset County,NJ,524551.0,0.07916393633378363,-0.3483330983828843,-0.4630034457355343,0.06646443290885448,-0.44010576053834893,0.1405377585864679,-0.17389973118630841,-0.03854169642065104,2.1,2026-07-31
219,57.00429622700328,73.76654632972323,0.8317172812764895,56.58388936214842,57.424703091858134,11204,New York,Kings County,NY,1272714.0,-0.003870367355813892,0.5380309921285953,0.2701548966078935,0.02363190651061467,1.0182633079046581,-0.19044756931305218,0.037793242533640026,0.03389046278738332,2.6,2026-07-31
220,56.97655546890459,73.6462093862816,0.8317172812764895,63.168394223470216,50.78471671433897,11363,New York,Queens County,NY,1129137.0,-0.043718317078389995,0.41833243438657597,0.20630567238971587,0.0317915450873237,0.311155568698118,0.07043795753929893,-0.01806110114686632,0.007373915664390204,2.1,2026-07-31
221,56.97574311668862,73.52587244283995,0.8317172812764895,63.04165343216429,50.90983280121295,07723,Deal,Monmouth County,NJ,4524126.0,0.2918855243384296,1.8063035152395877,1.436802181739834,,1.4523865644201812,-0.1546110835161052,0.6616169000014924,-0.024239992572143,3.7,2026-07-31
222,56.97087803864006,73.40553549939831,0.8317172812764895,56.5054419920479,57.43631408523222,10567,Cortlandt Manor,Westchester County,NY,710809.0,0.004415280440359132,-0.044472501328169045,0.12353385833535668,,-0.2943752520223637,0.028120256239400843,-0.1632177258437313,-0.03874916928770285,3.3,2026-07-31
223,56.91747461569884,73.28519855595668,0.8317172812764895,57.90507487774278,55.92987435365491,10707,Tuckahoe,Westchester County,NY,921436.0,-0.11423113888594791,0.2150568043454708,0.04405829030007169,0.036912505064943486,0.06144464371749225,0.13529195437471742,-0.09589588208089772,-0.04143118589660029,2.3,2026-07-31
224,56.909784886302674,73.16486161251504,0.8317172812764895,56.726074506222716,57.09349526638263,11952,Mattituck,Suffolk County,NY,1020621.0,0.03066234156394501,0.31729069167420576,-0.25560268735753233,,0.2498981503236919,-0.022667483071728445,0.03521819786237934,-0.1578977070389837,2.7,2026-07-31
225,56.878901555106836,73.04452466907341,0.8317172812764895,57.41802575537424,56.33977735483944,10605,White Plains,Westchester County,NY,1021141.0,0.05181235061963854,0.31779957238416934,-0.047976309633599,0.038206808718057934,0.03523094351981437,0.1855937904571211,0.011363184026413009,0.1028725182361259,2.6,2026-07-31
226,56.77830707129721,72.92418772563177,0.8317172812764895,54.83106199761776,58.72555214497667,07702,Shrewsbury,Monmouth County,NJ,1005838.0,0.12244936322680858,0.3027004666876838,-0.058145140089980174,,-0.16319381033560565,0.16786514229369043,0.13186806939472007,0.0378807127309531,3.1,2026-07-31
227,56.73637536511882,72.80385078219012,0.8317172812764895,59.82193437172158,53.65081635851605,07980,Stirling,Morris County,NJ,770320.0,0.03152978402135567,0.03592995871656868,-0.3647401424907972,,-0.33628726594080516,0.15290107063568847,0.052904186584921575,-0.2642386244259513,2.4,2026-07-31
228,56.70766178203918,72.6835138387485,0.8317172812764895,60.28697173047749,53.12835183360088,11724,Cold Spring Harbor,Suffolk County,NY,1790690.0,-0.04236777074345674,0.87948019739855,0.4370158769495145,,0.07927214395872428,0.3034692382263474,-0.23118621328872813,-0.03480427975314955,3.3,2026-07-31
229,56.70160744399861,72.56317689530685,0.8317172812764895,57.91763439179586,55.48558049620136,11721,Centerport,Suffolk County,NY,922785.0,0.009569524828778958,0.21652044417777105,-0.09399288598307187,,-0.3463346370335778,0.2231511471897356,0.09726770310477661,-0.04187687374675848,2.8,2026-07-31
230,56.62789677862396,72.44283995186522,0.8317172812764895,55.34051432883695,57.91527922841097,07865,Port Murray,Hunterdon County,NJ,517663.0,-0.00021849072517063362,-0.3615521289219057,-0.01694510580832187,,-0.32294487576594944,-0.027600222736892055,-0.3627514149530633,0.18383861812711394,2.3,2026-07-31
231,56.603320541082994,72.3225030084236,0.8317172812764895,51.57359939715946,61.63304168500653,11720,Centereach,Suffolk County,NY,666661.0,0.07974770109854426,-0.10859469825710732,-0.04098017762472317,0.0748706494753554,-0.2918567711496085,-0.12389132737321779,-0.023048342023281876,-0.024643868928229742,2.8,2026-07-31
232,56.586536343451314,72.20216606498195,0.8317172812764895,59.5749384455557,53.598134241346926,11732,East Norwich,Nassau County,NY,1035962.0,0.018698650985110282,0.3322098512859526,-0.32160195711832884,,0.04975533667694054,0.16790395341244535,-0.006833593817153982,-0.1678472718795631,2.6,2026-07-31
233,56.578899983016825,72.08182912154031,0.8317172812764895,57.2034966914517,55.95430327458195,11566,Merrick,Nassau County,NY,905655.0,0.013176911784063355,0.19778197927578134,0.17052724779692774,,-0.25755711699267114,0.11515800465394277,-0.08068542456415351,-0.021304770454775926,2.1,2026-07-31
234,56.578434419187346,71.96149217809868,0.8317172812764895,51.141251507716426,62.015617330658266,10523,Elmsford,Westchester County,NY,717407.0,-0.002732013796781979,-0.035233150635637145,-0.15502545896393372,,-0.08836590312493553,0.00981871934143308,-0.07009366958470942,0.08806990615085679,2.9,2026-07-31
235,56.57685927012072,71.84115523465704,0.8317172812764895,64.54209629233495,48.611622247906496,08730,Brielle,Monmouth County,NJ,1328666.0,0.23025926047997416,0.5810542660801268,0.1404333790990684,,0.15336422060077903,0.1773791670302336,-0.025459052798614934,-0.007368166212719365,3.3,2026-07-31
236,56.55383341019285,71.72081829121541,0.8317172812764895,60.37939668893908,52.72827013144662,11740,Greenlawn,Suffolk County,NY,845101.0,0.06818694716096588,0.12857940944070378,-0.15038393617557944,,-0.17658050166064965,0.051441239911128034,-0.029291997635246148,-0.03551782921336662,2.4,2026-07-31
237,56.53817547114671,71.60048134777377,0.8317172812764895,60.226249792885625,52.85010114940779,08006,Barnegat Light,Ocean County,NJ,1721061.0,0.1528647676013403,0.8398200300694221,0.9908389671135396,,0.7294327092850892,0.24200998152677755,0.28994076545454917,0.047598661418369034,2.6,2026-07-31
238,56.53428596424513,71.48014440433214,0.8317172812764895,63.205884404960464,49.862687523529786,11978,Westhampton Beach,Suffolk County,NY,1655284.0,0.05769023814053256,0.8008517997274787,0.4358726105244699,,0.6923639511738162,0.08420141654520419,-0.04573624099278639,-0.005474997641104998,2.3,2026-07-31
239,56.512545283653125,71.3598074608905,0.8317172812764895,53.04981924063924,59.97527132666701,07503,Paterson,Passaic County,NJ,564711.0,0.1314359319551265,-0.2745616084740483,0.005511666326569298,0.04723829874986825,0.34499448376501074,-0.3162686438628093,0.03063223123616865,0.06914871944268546,2.6,2026-07-31
240,56.48335652240485,71.23947051744885,0.8317172812764895,62.14972318737932,50.816989857430364,11771,Oyster Bay,Nassau County,NY,1349672.0,0.10444407058609287,0.5967410438845331,0.036394356847486264,,0.25589033583373566,0.0912332659241828,0.031163487225116526,-0.0220311838704121,3.0,2026-07-31
241,56.445046215803444,71.11913357400722,0.8317172812764895,56.50343639787943,56.386656033727455,11948,Laurel,Suffolk County,NY,1035706.0,0.02354279593996403,0.33196205192108685,-0.23370679943067785,,0.05332106278199222,-0.04280232323311017,,0.0895620301460716,2.7,2026-07-31
242,56.441419833222895,70.99879663056558,0.8317172812764895,57.79805226959761,55.08478739684817,11547,Glenwood Landing,Nassau County,NY,998799.0,0.10625168491332673,0.2956775698183929,-0.3866407687150062,,0.45287795197463754,0.2660934709568017,-0.0595150290201385,0.23129830682494862,2.1,2026-07-31
243,56.436859691718574,70.87845968712395,0.8317172812764895,63.64084140394783,49.23287797948932,07976,New Vernon,Morris County,NJ,2108860.0,0.07411795680764258,1.043026537546945,0.7688052051141643,,0.2520771769645058,0.23863607725736968,0.7331400129476027,-0.7242131382024881,2.9,2026-07-31
244,56.436009128671,70.7581227436823,0.8317172812764895,58.63025028560469,54.24176797173732,10597,Waccabuc,Westchester County,NY,1659063.0,-0.21605736930470484,0.8031321727302121,0.5407755776779286,,0.02373100667193806,0.19200894802050417,-0.20139871708578028,-0.47719240479628117,3.9,2026-07-31
245,56.42966300792705,70.63778580024066,0.8317172812764895,60.10661833823243,52.75270767762166,11791,Syosset,Nassau County,NY,1222600.0,0.05857336147998318,0.4978591955030023,-0.09333146849165708,0.05152950804901426,-0.09390270948350765,0.21303821737870332,-0.08109454832631258,-0.06671236124843612,2.8,2026-07-31
246,56.386905708058535,70.51744885679904,0.8317172812764895,56.1789319247608,56.594879491356274,10708,Bronxville,Westchester County,NY,980539.0,-0.06642214928945264,0.27722589779286366,0.2609199344837574,0.052369173336192565,0.15948233156985903,0.15623027144415447,-0.140893383635591,0.01484173606277421,2.7,2026-07-31
247,56.369266832572634,70.3971119133574,0.8317172812764895,57.20102023571726,55.53751342942802,08555,Roosevelt,Monmouth County,NJ,509901.0,0.06205718125138518,-0.37665894454525883,-0.3934688444169314,,-0.35588244592325435,-0.05997021649302442,-0.18994746527213202,0.10571747036835726,2.9,2026-07-31
248,56.36415343365972,70.27677496991576,0.8317172812764895,57.051991614560514,55.676315252758926,07648,Norwood,Bergen County,NJ,927081.0,0.01468383622165384,0.22116464588988904,-0.1940829306460774,,-0.24110770643634116,0.11534465858931997,0.14668395671442624,-0.13267130553804546,2.6,2026-07-31
249,56.353054212695724,70.15643802647413,0.8317172812764895,55.75759249165807,56.94851593373337,11964,Shelter Island,Suffolk County,NY,1794059.0,0.11329527112623197,0.8813599120569222,-0.15972494197869302,,0.7001607818887752,0.11795094640978276,0.2552282680326794,0.02130603260836876,2.9,2026-07-31
250,56.32902386034658,70.03610108303249,0.8317172812764895,52.3795477691389,60.27849995155425,07732,Highlands,Monmouth County,NJ,602419.0,0.06771158280432701,-0.20992375545554331,-0.4539230578101172,,-0.009095848574124377,0.02388412799314832,0.1712467616908917,-0.20314079068273355,3.0,2026-07-31
251,56.318062396954005,69.91576413959085,0.8317172812764895,57.362851148332915,55.2732736455751,07045,Montville,Morris County,NJ,833261.0,0.01896603768112684,0.11447096983762606,0.08662676931365532,,-0.38504952359047917,0.2102603515097886,-0.14086954261080642,-0.04638326904170116,2.3,2026-07-31
252,56.28364353535814,69.79542719614922,0.8317172812764895,55.90183421995657,56.66545285075971,11710,North Bellmore,Nassau County,NY,832608.0,0.009699647721234689,0.11368657113830416,0.08281601199903221,,-0.31866024896822087,0.04995032170424352,0.00769854063250186,-0.03893368571947571,2.4,2026-07-31
253,56.261366273813564,69.67509025270758,0.8317172812764895,54.837840379410075,57.68489216821706,11719,Brookhaven,Suffolk County,NY,722677.0,0.006631048431753689,-0.027914216756832033,0.15582904792254837,,-0.14492142049788126,-0.09637997348385591,0.378552111178621,-0.26427540889146756,2.6,2026-07-31
254,56.234148130892706,69.55475330926595,0.8317172812764895,57.88381835670358,54.584477905081826,11565,Malverne,Nassau County,NY,824506.0,0.013705436646692354,0.10390836466929265,0.02009856861337056,,-0.1723780709662368,0.06719100709202064,-0.08802197906226361,0.014642539989481215,2.2,2026-07-31
255,56.22783398380591,69.4344163658243,0.8317172812764895,55.12544385891675,57.33022410869506,11716,Bohemia,Suffolk County,NY,721265.0,0.010856996911766364,-0.029870029467774728,0.04040100913548095,,-0.16756473388613924,-0.08562564827824115,0.09176305635720361,-0.07119864376040726,3.0,2026-07-31
256,56.22046773915889,69.31407942238266,0.8317172812764895,62.96352801137118,49.4774074669466,11598,Woodmere,Nassau County,NY,1390549.0,0.12221159185959998,0.6265778545399012,0.33215792587687787,,0.10042124893481197,0.20602597384550891,0.038535352803933165,-0.07817967548472256,2.4,2026-07-31
257,56.101300543517716,69.19374247894103,0.8317172812764895,55.04159811511943,57.161002971916005,07607,Maywood,Bergen County,NJ,709943.0,0.06976397945804927,-0.0456915036424963,0.0719272567092002,0.05006035667308238,-0.09437322276253401,-0.02490619644736014,-0.007909078861768393,0.050258330121314906,2.7,2026-07-31
258,56.07473454634823,69.0734055354994,0.8317172812764895,50.78218450863024,61.367284584066226,11738,Farmingville,Suffolk County,NY,668812.0,0.08826560469450265,-0.10537251530294967,0.012277874320497872,,-0.3266219859322874,-0.17371785582867616,0.008732886063427259,-0.06716968417993359,2.9,2026-07-31
259,56.05739490366039,68.95306859205776,0.8317172812764895,64.66764652551348,47.4471432818073,11797,Woodbury,Nassau County,NY,1551974.0,0.11287673674628387,0.7364070341157714,0.33681532134448133,0.02712931285425261,0.19700167128596813,0.17160357216274214,-0.1776521698037694,-0.05605963902940632,2.7,2026-07-31
260,56.010428381862816,68.83273164861613,0.8317172812764895,55.845299669261706,56.175557094463926,10983,Tappan,Rockland County,NY,761537.0,0.04012293756869881,0.02446207220861396,-0.10993822394558173,,-0.33051681455717064,0.11623484119867444,0.0683828417482637,0.03426539632812302,2.8,2026-07-31
261,55.96599508279921,68.71239470517449,0.8317172812764895,46.12441346639337,65.80757669920504,11722,Central Islip,Suffolk County,NY,578597.0,-0.006029696452797134,-0.2502706867955702,-0.19725699416809306,0.06450188568297638,-0.26564200298893437,-0.2973229649098479,0.1876738929754289,0.015891025445228288,2.6,2026-07-31
262,55.954514775150784,68.59205776173285,0.8317172812764895,51.95116693268168,59.957862617619895,11706,Bay Shore,Suffolk County,NY,647608.0,-0.04955683932970131,-0.13758987667618072,-0.09925894598632112,0.05455577984249548,-0.20051093707574386,-0.2237702910881969,0.039892955757652615,-0.022502298297371673,2.3,2026-07-31
263,55.949142273507704,68.47172081829122,0.8317172812764895,53.969330442367834,57.928954104647566,08533,New Egypt,Ocean County,NJ,574226.0,0.05967918820174703,-0.2578539628400609,0.18586263280721482,,-0.2691309456270059,-0.17274310160962508,-0.15182192746336476,0.10226049595062507,2.3,2026-07-31
264,55.94656336030842,68.35138387484957,0.8317172812764895,44.41822155932358,67.47490516129325,10458,New York,Bronx County,NY,431786.0,-0.35907720954361333,-0.5429461124042358,-0.04059196257498421,0.07702607631423693,0.46962867060006874,-0.3075948196052724,-0.08986545855741923,0.01202008429849348,1.4,2026-07-31
265,55.93081042387337,68.23104693140795,0.8317172812764895,55.07483584478048,56.786785002966255,11788,Hauppauge,Suffolk County,NY,806774.0,0.07654811236182049,0.08216756972548822,0.13655702049052465,0.046958205977400344,-0.20538252289965198,0.014291230119473086,0.020004186587605943,-0.0570633704563865,2.7,2026-07-31
